id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/successorOf,successorOf,R,1,3,descendants,successorOf,"A pointer from a newer variant of a product  to its previous, often discontinued predecessor.",,,ProductModel,thing,http://schema.org/ProductModel,http://schema.org/ProductModel,,
http://schema.org/isBasedOnUrl,isBasedOnUrl,R,1,3,descendantsData,isBasedOnUrl,"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.",,,ConceptualWork,string,http://schema.org/CreativeWork,"http://schema.org/CreativeWork, http://schema.org/Product, http://schema.org/URL",,
http://schema.org/actor,actor,R,2,1,typings,actor,"An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.",actors,,RecordingOfWaveIBT,thing,"http://schema.org/Clip, http://schema.org/CreativeWorkSeason, http://schema.org/Episode, http://schema.org/Event, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject",http://schema.org/Person,http://schema.org/readBy,
http://schema.org/actors,actors,R,2,1,typings,actors,"An actor, e.g. in tv, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.",,,RecordingOfWaveIBT,thing,"http://schema.org/Clip, http://schema.org/Episode, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject",http://schema.org/Person,,
http://schema.org/agent,agent,R,2,1,typings,agent,The direct performer or driver of the action (animate or inanimate). e.g. <em>John</em> wrote a book.,,,Action,thing,http://schema.org/Action,"http://schema.org/Organization, http://schema.org/Person",,
http://schema.org/aircraft,aircraft,R,2,1,typings,aircraft,"The kind of aircraft (e.g., ""Boeing 747"").",,,CommercialPassengerFlight,thing,http://schema.org/Flight,"http://schema.org/Text, http://schema.org/Vehicle",,
http://schema.org/album,album,R,2,1,typings,album,A music album.,albums,,RecordedSoundProduct,thing,http://schema.org/MusicGroup,http://schema.org/MusicAlbum,,
http://schema.org/albumProductionType,albumProductionType,R,2,1,typings,albumProductionType,"Classification of the album by it's type of content: soundtrack, live album, studio album, etc.",,,Album-CW,thing,http://schema.org/MusicAlbum,http://schema.org/MusicAlbumProductionType,,
http://schema.org/albumRelease,albumRelease,R,2,1,typings,albumRelease,A release of this album.,releaseOf,,Album-CW,thing,http://schema.org/MusicAlbum,http://schema.org/MusicRelease,,
http://schema.org/albumReleaseType,albumReleaseType,R,2,1,typings,albumReleaseType,"The kind of release which this album is: single, EP or album.",,,Album-CW,thing,http://schema.org/MusicAlbum,http://schema.org/MusicAlbumReleaseType,,
